======================================================================
ДАННЫЕ МОДЕЛИРОВАНИЯ ДВИЖЕНИЯ ЧАСТИЦ В НЕЙТРАЛИЗАТОРЕ
======================================================================

ОПИСАНИЕ СТРУКТУРЫ ФАЙЛА:
  - Частицы стартуют из сечений, расположенных вдоль оси x.
  - Координаты сечений задаются массивом l (в метрах).
  - Из каждого сечения запускается N модельных частиц.
  - Для каждой частицы фиксируются:
      * время жизни в нейтрализаторе (сек) - время от старта
        до вылета через сечение x = L;
      * число столкновений со стенками (шт).

СТРУКТУРА ДАННЫХ:
  Для каждого сечения идёт блок вида:
    SECTION <номер> | x = <координата>, м | N = <число частиц>
    particle_index  time_alive_s  collisions
    <номер>         <время, с>    <столкновений>
    ...

Число сечений: 10
Координаты сечений l, м: 0, 0.222222, 0.444444, 0.666667, 0.888889, 1.11111, 1.33333, 1.55556, 1.77778, 2

======================================================================
ДАННЫЕ ПО СЕЧЕНИЯМ
======================================================================

# SECTION 0 | x = 0, м | N = 10
# particle_index   time_alive_s   collisions
               0   5.682884e-04          114
               1   3.714980e-04           59
               2   8.819254e-05           10
               3   4.177854e-04           71
               4   1.429146e-03          230
               5   3.662567e-04           59
               6   8.431266e-04          131
               7   3.050145e-04           42
               8   3.317248e-04           46
               9   1.113282e-04           18

# SECTION 1 | x = 0.222222, м | N = 10
# particle_index   time_alive_s   collisions
               0   1.270352e-03          186
               1   8.704674e-05           10
               2   3.725601e-04           76
               3   6.432304e-05            7
               4   4.776288e-04           71
               5   2.292052e-04           30
               6   7.929927e-04          139
               7   3.039010e-04           51
               8   7.643819e-05            5
               9   8.156058e-04          139

# SECTION 2 | x = 0.444444, м | N = 10
# particle_index   time_alive_s   collisions
               0   1.026340e-04           10
               1   5.547812e-04           95
               2   1.633130e-04           16
               3   1.628838e-04            9
               4   1.844654e-04           30
               5   6.321034e-04           96
               6   1.684575e-04           14
               7   1.876602e-04           27
               8   7.110955e-04          119
               9   2.226899e-04           35

# SECTION 3 | x = 0.666667, м | N = 10
# particle_index   time_alive_s   collisions
               0   4.397200e-04           83
               1   2.018998e-04           31
               2   6.262736e-04          103
               3   9.527642e-04          154
               4   2.955424e-04           47
               5   5.360696e-04           86
               6   7.289142e-05            7
               7   1.671723e-04           26
               8   4.319456e-04           73
               9   2.730723e-04           30

# SECTION 4 | x = 0.888889, м | N = 10
# particle_index   time_alive_s   collisions
               0   1.414108e-04           17
               1   4.351985e-04           69
               2   1.906655e-04           32
               3   5.769094e-05            6
               4   3.531070e-04           75
               5   3.303856e-04           55
               6   3.187715e-04           47
               7   1.112480e-04           15
               8   7.707788e-04          127
               9   1.076366e-04           11

# SECTION 5 | x = 1.11111, м | N = 10
# particle_index   time_alive_s   collisions
               0   8.160461e-05           15
               1   1.233440e-04           19
               2   1.838255e-04           19
               3   6.351762e-04          100
               4   2.613846e-05            1
               5   3.482414e-04           58
               6   2.145847e-04           28
               7   3.344387e-05            4
               8   6.351762e-04           93
               9   2.357121e-04           32

# SECTION 6 | x = 1.33333, м | N = 10
# particle_index   time_alive_s   collisions
               0   4.763821e-04           77
               1   2.579031e-04           38
               2   2.134176e-04           33
               3   3.986422e-05            6
               4   4.763821e-04           91
               5   2.645002e-04           48
               6   2.270381e-05            2
               7   2.338605e-04           41
               8   4.763821e-04           76
               9   8.349443e-05           16

# SECTION 7 | x = 1.55556, м | N = 10
# particle_index   time_alive_s   collisions
               0   3.175881e-04           55
               1   1.655247e-05            2
               2   1.223362e-05            1
               3   2.069935e-05            3
               4   3.175881e-04           57
               5   1.614144e-05            1
               6   1.035706e-04           23
               7   5.595179e-05            5
               8   1.988776e-04           34
               9   2.650708e-04           38

# SECTION 8 | x = 1.77778, м | N = 10
# particle_index   time_alive_s   collisions
               0   9.488299e-06            1
               1   7.556085e-06            1
               2   1.587940e-04           25
               3   3.968532e-05            5
               4   1.212042e-05            1
               5   7.715507e-05           15
               6   6.109889e-05           11
               7   7.939702e-06            0
               8   1.587940e-04           26
               9   6.448557e-05           10

# SECTION 9 | x = 2, м | N = 10
# particle_index   time_alive_s   collisions
               0   0.000000e+00            0
               1   0.000000e+00            0
               2   0.000000e+00            0
               3   0.000000e+00            0
               4   0.000000e+00            0
               5   0.000000e+00            0
               6   0.000000e+00            0
               7   0.000000e+00            0
               8   0.000000e+00            0
               9   0.000000e+00            0

======================================================================
СВОДКА (средние значения по сечениям)
======================================================================
#  section         x, м      mean_time_s    mean_collisions
         0            0     4.832361e-04            78.0000
         1     0.222222     4.490054e-04            71.4000
         2     0.444444     3.090084e-04            45.1000
         3     0.666667     3.997351e-04            64.0000
         4     0.888889     2.816893e-04            45.4000
         5      1.11111     2.517247e-04            36.9000
         6      1.33333     2.544890e-04            42.8000
         7      1.55556     1.324274e-04            21.9000
         8      1.77778     5.971174e-05             9.5000
         9            2     0.000000e+00             0.0000
